"","Louvain_3","Treatment","N","Total","Freq","CD45","CD57","In115Di","IdU","CD103","CD19","CD45RA","KLRG1","CD4","CD8","Perforin","CD16","CD127","CD1c","CD123","CD66b","PD1","ICOS","CD27","TIM3","CCR6","CD14","CD56","CD69","41BB","CD25","CCR7","CD3","OX40","CD38","CD95","LAG3","CXCR3","HLADR","TIGIT","GranzymeB","DNA","Osmium","CD11b"
"47","12","2_border",74,55703,0.00132847422939519,0.742933534863394,0.00889594078279806,0.00708228672344713,0.124913625221879,0.0227709843562327,0.0386110845318013,0.372599121764006,0.140371389111632,0.654776548899403,0.120138276726287,0.196692456544327,0.0593899398987293,0.353617525499044,0.0133367728183581,0.0197358999505717,0.0530838020940997,0.0112153313540554,0.150715010025705,0.575691987526964,0.0169180506519928,0.0146354074351064,0.0194172088633221,0.102324152920818,0.298669892762139,0.0245325741324789,0.134008318799876,0.663592915297452,0.793387983447785,0.10331786922172,0.277260652105869,0.163940454401768,0.0314512233424988,0.155342274314187,0.0411028355803125,0.0456691810618361,0.0845122503943072,0.750604292633581,0.375691065017523,0.104194782658596
"48","12","3_tumor",194,333723,0.000581320436409837,0.730411214247304,0.00856055443897148,0.00409747816425198,0.10001083999279,0.0365476012398735,0.041549559068869,0.338586558290871,0.175125384346821,0.692644913255362,0.136783511850372,0.197939447216357,0.068769283157607,0.431729319925577,0.0192733912987136,0.00771277322187727,0.04845487737128,0.0104751775190105,0.203534232481596,0.595787686989829,0.0334620468565205,0.0153297215905666,0.0260882309163026,0.0908348118281861,0.26880397067157,0.0190314510168484,0.139826120419125,0.681653547285644,0.793748573067857,0.106229964175413,0.269097908633794,0.187706776251315,0.0359119397960099,0.167496520709351,0.0434725809635476,0.04783024047506,0.0793028387011234,0.741715527943407,0.359454720074879,0.0607407889745468
"49","19","1_normal",74,169733,0.000435978860916852,0.415038206546736,0.112134837582199,0.0619342038423427,0.115181779194642,0.0612454731485656,0.0401636329911724,0.0578043188966655,0.0487600672083587,0.0875196972935485,0.137264800072021,0.262579027277245,0.126769065319576,0.0235225499080027,0.0172610505837978,0.0252909192583178,0.166998282303074,0.0580415304877603,0.111844825460237,0.0750920549706492,0.0405676353690575,0.130749303763267,0.0663432993479331,0.0801145775089702,0.128074398341414,0.0372008180207175,0.0600386428604779,0.292152827060331,0.225273047792897,0.0422025779909974,0.201844506028854,0.258372735551925,0.138372335401512,0.547653955297745,0.317669229978526,0.137418090694167,0.230044939488266,0.73718546531137,0.390978524416939,0.20024022986478
"50","19","2_border",73,55703,0.0013105218749439,0.610385976206312,0.13192801835467,0.0629784643637586,0.0963327881247519,0.0571296217243378,0.0603687498849446,0.100865219928407,0.0744585969243907,0.0829393645637885,0.137688752176794,0.18295024803361,0.087867068988781,0.0603709766317431,0.0104916912976948,0.0322518601073329,0.144288995720925,0.0836173938206946,0.151792381365742,0.106252201708892,0.0250896667174638,0.23268791679144,0.0742425762381565,0.164614644013852,0.267712461378579,0.02796013548439,0.0524158781287365,0.279249115884016,0.444594876603772,0.0671580039836559,0.236795996608902,0.36400347679897,0.268489259237234,0.665620105704029,0.385679479232769,0.137004430311013,0.209402574888537,0.768219468616556,0.419358234416543,0.225546688997663
"51","19","3_tumor",10480,333723,0.0314032895545108,0.648896516172869,0.0495457289023285,0.0157307924611809,0.142298049919659,0.0433205605722536,0.0434186789142468,0.0764679913261243,0.0291756213964705,0.0324366044932931,0.0841887106050451,0.0340666153279282,0.0801424609057689,0.0271003116183669,0.0216405038603088,0.0161298855824253,0.21905102580875,0.13963021951988,0.163235341047117,0.0559387044491815,0.0225162050556764,0.176412611696499,0.0580828514703863,0.13942819722469,0.289548417431048,0.0286366626794343,0.0561831756781463,0.415059979347474,0.470329879102416,0.0680902518459209,0.244160660207345,0.344777871949331,0.349273533783583,0.782874847394952,0.465861816935601,0.123292919554655,0.137720978268596,0.751063079810652,0.428272430007472,0.228013118007655
"52","17","1_normal",348,169733,0.00205027896755492,0.529110118724296,0.0240184952554791,0.00918338641374115,0.139101346438094,0.0582938628539911,0.447863167108413,0.247517160516637,0.0584267936413163,0.0676876886329895,0.157034498637675,0.567123390110392,0.165250208040209,0.041910835296724,0.0341819207286193,0.081997037032821,0.11281588660396,0.0799607135902321,0.138221882062834,0.620216226863158,0.0516456770547084,0.0862155102489904,0.072737323329675,0.103792937497416,0.16081190635694,0.0247493036988503,0.447133754227468,0.40913244305535,0.447483717582082,0.246963201674937,0.8524737932003,0.553847561213321,0.334661480818072,0.289125324211906,0.16233091425203,0.0798577209797428,0.201700332865295,0.779099713991856,0.457698445435748,0.0756091727279281
"53","17","2_border",128,55703,0.00229790136976464,0.611883513003816,0.0236534627032522,0.0041438578935044,0.112532844798239,0.0645102160939423,0.506435735029582,0.296577952362366,0.0814191056631383,0.076596309890671,0.163831993257515,0.361390531625875,0.114442951038267,0.0263962985069307,0.0350682532076774,0.094151157331159,0.0814024617625582,0.0506366413935901,0.118949262867402,0.571439247634983,0.0368291000131965,0.0840909638051607,0.0598362402186356,0.129780324066183,0.172219080128809,0.0289026702384056,0.491422469817028,0.417552418481102,0.472328093962141,0.251458386427761,0.882327514778796,0.598795109471884,0.375554720945361,0.3974650351409,0.193262041607677,0.0714701350467864,0.153175175174924,0.80229856941562,0.461195336229409,0.063068550170066
"54","17","3_tumor",31609,333723,0.0947162766725698,0.623403947285978,0.0225709361319568,0.00834843874939178,0.137601791359435,0.0778839723217696,0.600007833219771,0.302497869844379,0.067251400164292,0.0742788666535886,0.218130866657465,0.295478348811172,0.12275330434686,0.0272046331674174,0.0331092458032308,0.095198978309847,0.0922191562259388,0.0365336925410906,0.137839996915197,0.479975004951381,0.033318796130232,0.112864598983164,0.0754806510444192,0.127199237911457,0.168123305585513,0.0226829269155095,0.456407832365488,0.41591834153324,0.463705178858609,0.21171635533257,0.865516339567337,0.623916289408597,0.395165946510084,0.533660229759391,0.18813945754015,0.0642127088474364,0.122620322768196,0.819656167873612,0.525513687505146,0.0680493864247649
"55","28","1_normal",32,169733,0.000188531399315395,0.782238915136695,0.385800182279295,0.267526386495828,0.186175576577721,0.174547772443677,0.513498811040989,0.473466213796162,0.400814439366757,0.223456058701847,0.529628662821878,0.672218166900347,0.39316590905686,0.361835197823946,0.0703689072067865,0.120064635272252,0.170757233218458,0.145926928644454,0.240672461769215,0.636908509709192,0.0875770484820905,0.160261438880235,0.119842869157547,0.349371929819197,0.501102757113234,0.0923393877414627,0.474943733920591,0.450047808091632,0.649802646646842,0.271373684774162,0.87513845865318,0.636361724571009,0.465753140488746,0.39976962765934,0.213711708588039,0.224511731161429,0.472686661837609,0.866537400189845,0.561746507229279,0.206431225030898
"56","28","2_border",12,55703,0.000215428253415435,0.840881679928811,0.430530417495056,0.23736404405224,0.156960463902254,0.151875997452103,0.456303186209677,0.325195710772033,0.405329838432886,0.400386831330502,0.53287510920255,0.441290171307987,0.192071955926553,0.423562651013575,0.0576216429482509,0.0814690468536653,0.173685409185766,0.171683505663722,0.286690431718694,0.504313241624469,0.032072676535268,0.202847852685298,0.0912963522810288,0.329349497070753,0.580087694315434,0.0624602384345519,0.405823235255958,0.431261935323373,0.709602959282222,0.254540226040621,0.823708162145426,0.673199954036579,0.4418866224256,0.589235549544548,0.261254973167153,0.256388807999675,0.390906780063084,0.842666547380398,0.531939230462502,0.211390597083175
