"","HybridLouvain","Treatment","N","Total","Freq","CD45","CD57","In115Di","IdU","CD103","CD19","CD45RA","KLRG1","CD4","CD8","Perforin","CD16","CD127","CD1c","CD123","CD66b","PD1","ICOS","CD27","TIM3","CCR6","CD14","CD56","CD69","41BB","CD25","CCR7","CD3","OX40","CD38","CD95","LAG3","CXCR3","HLADR","TIGIT","GranzymeB","DNA","Osmium","CD11b"
"23","mdc_2","2_border",409,55703,0.00734251297057609,0.713635956689111,0.0167424899819965,0.00952831996806003,0.0916506463114696,0.0767718099076557,0.0446720234179644,0.0762582122962649,0.175373219286868,0.420587868350444,0.133783443846531,0.370213909453496,0.0880841266887186,0.0310261139777232,0.0632411743438254,0.03466072710134,0.0618569321437967,0.0711423918413624,0.106775344014074,0.0404772064269605,0.49444807223491,0.233216304969619,0.0446707428305788,0.212408877256641,0.191858524285973,0.0129899813117115,0.0492171025670602,0.0461950742315168,0.12560890170834,0.0204393683654805,0.521182968049193,0.263950830188836,0.222210096523462,0.640581504939982,0.740405427306822,0.182360512960752,0.235445157523985,0.803851841049491,0.543421261780763,0.0973916289621677
"24","mdc_2","3_tumor",229,333723,0.000686197834731199,0.74430232178763,0.026353745273043,0.00931877844049082,0.131570824208516,0.150647492603361,0.0551605419258978,0.0778269694825347,0.231745959399377,0.474118195307152,0.237958100981798,0.312541476400591,0.0970648010993342,0.0445027877071199,0.0665123641918513,0.0235707510565605,0.0783880619297966,0.0518869161015889,0.156251112948255,0.0699103838833557,0.535923657943577,0.222002347358976,0.0596987386035579,0.294940506808936,0.215865660100926,0.0370642416633464,0.0371444410975139,0.0622035343473768,0.186707706071103,0.0201719343644991,0.442637792581539,0.276105957901307,0.25083433275521,0.670215524942659,0.66478674748304,0.162392664669064,0.229599623195921,0.817189782751838,0.59621495599384,0.10488758541527
"25","mdc_7","1_normal",1583,169733,0.00932641265988346,0.733553776113216,0.0212916990620677,0.00619751608325415,0.136892692455692,0.0642789993733643,0.0803006617332254,0.135473990254498,0.127945770623369,0.496038429896519,0.177390804541434,0.563288675961717,0.169925979630011,0.048822812349658,0.67589537902126,0.225282171358197,0.0909748957928013,0.0342358216887263,0.117144901678593,0.0542641579487847,0.315687189209143,0.14731021221938,0.110815277335259,0.142431042040621,0.255378197809245,0.022085761953792,0.139159610477585,0.0515014262409636,0.132063622656098,0.0180137871619133,0.416057547421288,0.359539283623509,0.156991124774265,0.320154435610602,0.80249492380309,0.266615856061792,0.281487379592568,0.770121303127062,0.478612978680365,0.315844629940551
"26","mdc_7","2_border",1123,55703,0.0201604940487945,0.767958797596305,0.0200485799990207,0.00644773517947753,0.0789439453717472,0.0737419194550147,0.0821838146245993,0.142081539013942,0.113786122253988,0.55130064890044,0.185952761334107,0.379224858555537,0.125947010530492,0.0414884256192549,0.710606948401903,0.249805719558895,0.0780744585670374,0.0387603523533331,0.11200309460741,0.0524623876483835,0.330867114397393,0.197657640556944,0.115806741565477,0.149999599177875,0.297933561545315,0.0238668103580435,0.14947604245164,0.0589550835939785,0.130043747267423,0.0190660778123796,0.443603012633415,0.381650135605829,0.170226923052585,0.397032973253865,0.835961316398644,0.270408670548996,0.253634621594946,0.797714346769164,0.509580498403202,0.309989571134608
"27","mdc_7","3_tumor",608,333723,0.00182187023369681,0.782560254310486,0.0235183132757143,0.00647418445380646,0.116197279051479,0.0910210557950594,0.091570917340115,0.167444648536018,0.141542708826586,0.583953003287899,0.273199980324314,0.336006003458511,0.159475660348892,0.0674522415456697,0.690626092555628,0.238614169861984,0.102309603394336,0.0450254515678133,0.170621749275669,0.0757040941936064,0.314526569806988,0.30516522188315,0.212146835249104,0.166821502488299,0.318228976080375,0.048313028256977,0.17410178822257,0.101558593927071,0.226802778031682,0.0352726116613303,0.475330082174405,0.467402710919759,0.216600212998422,0.425478502797516,0.799328590338594,0.271401809170351,0.255554889572146,0.798085709622283,0.531970436944278,0.415579939544668
"28","monocyte_3","1_normal",95,169733,0.00055970259171758,0.763899096542012,0.436696175118277,0.296409869425864,0.157429498124521,0.101542234760447,0.106619677449893,0.457068040671632,0.276005728716379,0.480907119347946,0.342331880162418,0.711841747432721,0.651128556993728,0.119993817910772,0.103806528320759,0.153364558488145,0.299727481237689,0.0821991050986739,0.224326091628295,0.106525030963729,0.212168898548773,0.132100036834609,0.62160341198981,0.363550890398546,0.33706043037013,0.0492275349280466,0.0661756711581544,0.138842904114998,0.238906785208337,0.0326940678650659,0.490567620699598,0.527650154809692,0.221589907887734,0.305345344266628,0.593947712068887,0.287559371479471,0.569631260055964,0.839338745356425,0.556433999726236,0.686325513398448
"29","monocyte_3","2_border",16,55703,0.000287237671220581,0.76992292290653,0.531540290221491,0.341284197445935,0.157378753646958,0.079187641880445,0.137005599927686,0.603713944549701,0.246402568405742,0.532422189449243,0.252029462811399,0.692439103626064,0.586248138585983,0.146054407065725,0.119209409619694,0.166972789671464,0.222795608718444,0.105879385666242,0.193506262999662,0.134849458917798,0.262210089512395,0.214537332191113,0.67967962443352,0.443155545098093,0.362721822671935,0.0721516702760348,0.0923997345700891,0.266437782739918,0.17183460301542,0.045599876667628,0.547021178976163,0.527661124235322,0.329748596189232,0.381233204306363,0.663808783159212,0.34804684350144,0.550853777009646,0.863407383791633,0.606581499240715,0.656763838703214
"30","monocyte_3","3_tumor",10,333723,2.99649709489607e-05,0.760937977515632,0.400246389101379,0.323327600560877,0.199657379647512,0.129509408276964,0.135793745879254,0.418605301347622,0.207140714215493,0.501758509570155,0.345549724669316,0.56626509010094,0.667729633394908,0.103171123757243,0.0624092266766232,0.132640060462466,0.407858755469325,0.061249850581101,0.28219465529895,0.177092711143203,0.280905402308508,0.179166881357891,0.669207767748131,0.314849503675895,0.276827937856024,0.0601037139642781,0.148696442181476,0.108081533095834,0.292886850433864,0.0248439276169363,0.49289490391317,0.502988339829067,0.291058267917652,0.461537707966271,0.794363441348995,0.34890160309263,0.554350573036904,0.867153344871692,0.587112319538305,0.646577151931562
"31","monocyte_9","1_normal",2,169733,1.17832124572122e-05,0.623717324009314,0.0310860533353182,0,0,0.0448099902899106,0.164699519286335,0.00551580551788447,0.0306046046267335,0.212611578721764,0.163247802601292,0.541728068372545,0.259858944752633,0.0710413926069358,0.0961667650572917,0.0904796811375828,0.345320702359017,0,0.198552535454393,0,0.0295132998717806,0.257455543331857,0.485568993968962,0,0.118901727574846,0,0.0616801278302678,0.437318265055112,0.142154793903626,0.0138693770224094,0.329049886011039,0.442324367802806,0.674718330463613,0.71659275493793,0.416822090881217,0.116995737829614,0.259336900880114,0.810112908325535,0.523656963587555,0.494067358115579
"32","monocyte_9","2_border",6,55703,0.000107714126707718,0.708313843418054,0.0107321576889455,0.0520860128116746,0.20829858135218,0.107832906828482,0.0768656603769048,0.111584879138561,0.0738002216411953,0.442179475142064,0.169008819228546,0.335454186371835,0.107314370277763,0.0184142449459667,0.0527544720434076,0.10066605708743,0.231708308352707,0.0690278769955186,0.109473191773006,0.025240984259229,0.0759545628029998,0.348877388202413,0.512358531134282,0.268525587741564,0.181357951958832,0.0386097245379019,0.0472327468004804,0.433611474142398,0.1906134127958,0.0733208779295274,0.300919057527499,0.374742635467678,0.273700942035478,0.701406187055669,0.602261421367189,0.0863747187567088,0.176624730170348,0.801737490609554,0.514068651351882,0.580903093551071
